seed,data_name,amazon_cat,mode,best_train_loss,best_train_jaccard,best_val_jaccard,best_test_jaccard,epoch_time,train_loss,train_jaccard,val_jaccard,time,memory_used_MB,K
50971,gaussian,toys,diffMF,7.8787039915720625,89.88648653030396,90.57063460350037,91.04639291763306,0 days 00:00:01.036586,"[12.665693163871765, 11.410330295562744, 10.31633597612381, 9.348699390888214, 8.547750151157379, 7.8787039915720625, 7.24813164131982, 6.6879989095032215, 6.199072668949763, 5.776045742630958, 5.405459921468388, 5.088900975883007, 4.813663692428515]","[89.80699181556702, 89.84033465385437, 89.87436294555664, 89.4722580909729, 88.56946229934692, 89.88648653030396, 90.13193845748901, 90.01678824424744, 90.08951187133789, 90.04405736923218, 89.98951315879822, 90.07739424705505, 90.04102945327759]","[90.05012512207031, 90.2214527130127, 90.1456892490387, 90.09254574775696, 89.08738493919373, 90.57063460350037, 90.49720764160156, 90.56386947631836, 90.4608428478241, 90.475994348526, 90.53053259849548, 90.54335951805115, 90.53053259849548]",39.5759916305542,527.1171875,
50971,gaussian,toys,diffMF,7.8787039915720625,89.88648653030396,90.57063460350037,91.04639291763306,0 days 00:00:01.024411,"[12.665693163871765, 11.410330295562744, 10.31633597612381, 9.348699390888214, 8.547750151157379, 7.8787039915720625, 7.24813164131982, 6.6879989095032215, 6.199072668949763, 5.776045742630958, 5.405459921468388, 5.088900975883007, 4.813663692428515]","[89.80699181556702, 89.84033465385437, 89.87436294555664, 89.4722580909729, 88.56946229934692, 89.88648653030396, 90.13193845748901, 90.01678824424744, 90.08951187133789, 90.04405736923218, 89.98951315879822, 90.07739424705505, 90.04102945327759]","[90.05012512207031, 90.2214527130127, 90.1456892490387, 90.09254574775696, 89.08738493919373, 90.57063460350037, 90.49720764160156, 90.56386947631836, 90.4608428478241, 90.475994348526, 90.53053259849548, 90.54335951805115, 90.53053259849548]",38.77064371109009,529.23046875,
50971,gaussian,toys,diffMF,11.404130458831789,89.90769386291504,90.13800024986269,90.84032773971558,0 days 00:00:01.279610,"[12.664927124977112, 11.404130458831787, 10.314129372437796, 9.353136271238327, 8.656327450275421, 8.510018348693848, 9.174692273139954, 9.697708040475845, 9.794931875334846]","[89.61911797523499, 89.90769386291504, 89.87668752670288, 89.58508968353271, 73.8376259803772, 42.21740663051605, 26.72898769378662, 40.01393020153046, 56.10024929046631]","[90.01608490943909, 90.13800024986267, 90.13287425041199, 89.91771936416626, 74.5105504989624, 42.538681626319885, 26.117780804634094, 40.735188126564026, 57.43269324302673]",35.32213544845581,530.4296875,
50971,gaussian,toys,diffMF,10.325729648272196,89.75011706352234,90.3086245059967,90.92144966125488,0 days 00:00:00.888761,"[12.676019072532654, 11.41970819234848, 10.325729648272196, 9.360075190663338, 8.642674887180329, 9.02926285068194, 9.731008878776006, 9.957292430102825, 9.990828229321373, 10.011225408315658]","[89.77972269058228, 89.90093469619751, 89.75011706352234, 89.39158320426941, 66.97338819503784, 23.814688622951508, 27.20867097377777, 42.80388355255127, 47.48979210853577, 46.63870632648468]","[89.99114036560059, 90.3002381324768, 90.3086245059967, 89.85943794250488, 68.69651079177856, 22.684046626091003, 28.21621298789978, 45.058754086494446, 51.20638608932495, 49.15481507778168]",29.77286076545716,529.609375,
50971,gaussian,toys,diffMF,10.309687415758768,89.63193893432617,90.22074341773988,90.88881015777588,0 days 00:00:00.487312,"[12.664766788482666, 11.405439257621765, 10.309687415758768, 9.34122610092163, 8.564930307865144, 8.446975062290827, 9.270083997930799, 9.678713165223598, 9.757876204119789, 9.797204679250717]","[89.62214589118958, 89.788818359375, 89.63193893432617, 89.56224322319031, 82.01432228088379, 38.14379572868347, 29.74654734134674, 47.61395454406738, 54.496169090270996, 50.96461772918701]","[89.88811373710632, 90.05105495452881, 90.22074341773987, 90.18204808235168, 82.41322636604309, 37.87888586521149, 30.377408862113953, 48.91878962516785, 56.476569175720215, 51.711320877075195]",23.15663361549377,528.23828125,
1,gaussian,toys,diffMF,5.46568166166544,89.97063636779785,90.57063460350037,90.96760153770448,0 days 00:00:00.279712,"[12.475891470909119, 11.229449987411499, 10.164602478345236, 9.199526995420456, 8.323037803173065, 7.554369077086449, 6.897906137364251, 6.33714098110795, 5.866181015968323, 5.46568166166544, 5.119270274584943, 4.825765612224738, 4.571085271927027, 4.344276432480131, 4.147257178028425, 3.9748050747439265, 3.8173987567424774]","[89.53427076339722, 89.7046685218811, 89.76527452468872, 89.68647718429565, 89.9107277393341, 89.71981406211853, 89.78951573371887, 89.71608877182007, 89.73426818847656, 89.97063636779785, 89.89184498786926, 89.74032998085022, 89.94032740592957, 89.96760249137878, 90.00466465950012, 90.0683045387268, 90.00466465950012]","[89.80396389961243, 90.14406204223633, 90.08578062057495, 90.11071920394897, 90.1123583316803, 90.37972688674927, 90.25548696517944, 90.2547836303711, 90.49487709999084, 90.57063460350037, 90.50326347351074, 90.51002860069275, 90.56457281112671, 90.51002860069275, 90.43053984642029, 90.47366380691528, 90.51002860069275]",24.05577564239502,527.1484375,1.0
2,gaussian,toys,diffMF,4.624288201332092,90.12890458106996,90.6335711479187,90.99417328834534,0 days 00:00:00.296238,"[12.049515724182129, 10.874013483524323, 9.84133893251419, 8.88134115934372, 8.016856741905212, 7.261616572737694, 6.617196483271463, 6.072869937866926, 5.620546761486265, 5.232954502105713, 4.905697734518484, 4.624288201332092, 4.382563245984224, 4.168729188186782, 3.978849156697591, 3.8152855122461915, 3.669325996847714, 3.5377741348412304, 3.4193102913467506]","[89.92214798927307, 89.9440586566925, 89.92284536361694, 89.95314836502075, 90.04102945327759, 89.92891311645508, 89.99860882759094, 90.10769724845886, 90.1016354560852, 90.11073112487793, 90.08951187133789, 90.12890458106995, 90.10769724845886, 90.0107204914093, 90.0713324546814, 90.08951783180237, 90.15921354293823, 90.2107298374176, 90.12891054153442]","[90.35244584083557, 90.45547842979431, 90.56690335273743, 90.49487709999084, 90.54033160209656, 90.56386947631836, 90.59790372848511, 90.46387076377869, 90.49487709999084, 90.51538705825806, 90.51538705825806, 90.6335711479187, 90.40326476097107, 90.51235914230347, 90.3002381324768, 90.36993980407715, 90.39114117622375, 90.41608572006226, 90.47366380691528]",26.07944178581237,527.0390625,1.0
3,gaussian,toys,diffMF,4.971501144495877,90.07435441017152,90.5275046825409,91.00769758224487,0 days 00:00:00.282416,"[12.639255285263062, 11.27435553073883, 10.116544206937155, 9.086267068982124, 8.169430744647979, 7.383970235784848, 6.717758404357093, 6.160512890666723, 5.694722082879808, 5.3045563161373135, 4.971501144495877, 4.684589561074972, 4.431994870305061, 4.2094705030322075, 4.017614261309306, 3.8483597012236714, 3.697957364951863, 3.5630548232131534]","[88.86992335319519, 89.5729660987854, 89.8554801940918, 89.9645745754242, 90.0766909122467, 90.11305570602417, 89.9675965309143, 90.14103412628174, 89.92587924003601, 90.0107204914093, 90.07435441017151, 90.02587795257568, 89.9137556552887, 90.14102816581726, 90.0683045387268, 90.18042087554932, 90.19557237625122, 90.12284278869629]","[89.3545150756836, 90.0874137878418, 90.06689786911011, 90.29114246368408, 90.43962955474854, 90.443354845047, 90.4706358909607, 90.3184175491333, 90.34265279769897, 90.36387205123901, 90.5275046825409, 90.5093252658844, 90.44638872146606, 90.51002860069275, 90.40396213531494, 90.31841158866882, 90.35478234291077, 90.33963084220886]",24.498013019561768,527.7578125,1.0
4,gaussian,toys,diffMF,6.601485174149275,90.01375436782837,90.53660035133362,90.95548391342165,0 days 00:00:00.301617,"[12.8186354637146, 11.581245064735413, 10.507201492786407, 9.534219548106194, 8.647414314746857, 7.863615999619166, 7.1809592459883005, 6.601485174149275, 6.1082998762528105, 5.6902960106730465, 5.333912472833287, 5.025420781224966, 4.755718931555748, 4.521128793912275, 4.315433287620545]","[89.55315351486206, 89.80163335800171, 90.04102945327759, 89.87435698509216, 90.01911878585815, 89.994877576828, 89.9039626121521, 90.01375436782837, 90.08042216300964, 90.14406204223633, 90.03193974494934, 90.16830325126648, 90.19557237625122, 90.11374711990356, 90.14406204223633]","[89.66224193572998, 90.3766930103302, 90.28578400611877, 90.51608443260193, 90.27669429779053, 90.47132730484009, 90.40023684501648, 90.53660035133362, 90.50699472427368, 90.38578271865845, 90.40932655334473, 90.53660035133362, 90.4123604297638, 90.32145142555237, 90.40093421936035]",22.93088269233704,525.7734375,1.0
5,gaussian,toys,diffMF,8.506858319044113,90.12889862060548,90.48578143119812,90.98578095436096,0 days 00:00:00.379171,"[11.851855397224426, 10.589401245117188, 9.488839070002237, 8.506858319044113, 7.649751615524292, 6.91792627175649, 6.3010227637631555, 5.786335349082947, 5.356191052330865, 4.991936178505421, 4.680248299782926]","[89.93799090385437, 90.10769724845886, 90.24708867073059, 90.12889862060547, 89.98345136642456, 90.05920886993408, 90.16830325126648, 90.11678695678711, 90.18648266792297, 90.07738828659058, 90.22890329360962]","[90.39790630340576, 90.4608428478241, 90.46154022216797, 90.48578143119812, 90.42214751243591, 90.40699601173401, 90.32145142555237, 90.35244584083557, 90.42447805404663, 90.42214751243591, 90.4426634311676]",20.68244504928589,527.171875,1.0
