seed,data_name,amazon_cat,mode,best_train_loss,best_train_jaccard,best_val_jaccard,best_test_jaccard,epoch_time,time,memory_used_MB,train_loss,train_jaccard,val_jaccard
12,moons,toys,implicit,13.861472433650723,57.33312324929972,58.26421911421911,58.1512654012654,0.5818400382995605,30.01849603652954,1797.03125,"[13.861834220016867, 13.861472433650725, 13.861459734766878, 13.861451546836701, 13.861446736519756, 13.861453282994546, 13.86144781376404, 13.861458036022178, 13.861443470026188]","[54.91939580027815, 57.33312324929972, 56.636453252629714, 56.33253658106599, 57.06575728193375, 56.935096276272745, 56.47835106070399, 56.86768868386515, 56.9431382343147]","[56.455374037726976, 58.26421911421911, 57.590601065601064, 57.60045787545787, 58.19347955965603, 57.894247419247414, 57.48891941391942, 57.92400932400932, 57.95828974946622]"
140,moons,toys,implicit,13.86145787250194,57.50751552369199,58.40436230436229,58.47916054533702,0.561443567276001,31.673831701278687,1798.3515625,"[13.862046514390382, 13.861480281879988, 13.86145787250194, 13.861468011077218, 13.861448552249449, 13.861447605651794, 13.861451164956211, 13.86145409279462, 13.86145793599011, 13.861449160665291]","[50.30835569659099, 57.02280023897671, 57.50751552369199, 57.18476327593974, 56.83383724119018, 56.65604003839297, 56.598955456308396, 56.779175236528175, 57.10455182072829, 56.93059048794343]","[52.1906595038948, 58.2771978021978, 58.404362304362294, 57.84035964035963, 57.78884448884448, 57.65640829758476, 57.57898572016219, 57.783949383949384, 57.988228438228425, 57.91767399267398]"
140,moons,toys,implicit,13.861478154042516,56.96469168086815,58.12012154512154,57.63712121212121,0.6260497570037842,31.989392518997192,1820.6171875,"[13.86205700107044, 13.861478154042517, 13.861461072745819, 13.861454725235275, 13.861443761794845, 13.861441580486385, 13.861457271542543, 13.861457130099447, 13.861438101502756]","[50.11481835158306, 56.96469168086815, 57.32015288632935, 57.20001469119116, 57.112011028187496, 56.8294832618362, 56.79697410432704, 56.8984559558089, 57.101721317897784]","[51.87664378105554, 58.12012154512154, 58.118852226205156, 57.920604395604386, 57.983275058275055, 57.7956024367789, 57.716641691641684, 57.82908757908757, 57.928629703629696]"
140,moons,toys,implicit,13.861488614818764,57.05493477111124,58.16362607980254,57.71024808524808,0.6221702098846436,31.68376135826111,1825.0234375,"[13.862068297474842, 13.861488614818763, 13.861462429977976, 13.861455363422131, 13.86146005594848, 13.861462990522881, 13.861458868412624, 13.861447196458332, 13.861454016958062]","[50.17152194211018, 57.054934771111235, 57.379984721161186, 57.16781355899003, 56.97055052790346, 56.86025249260543, 56.98177263912558, 57.0093783667313, 56.9076467649997]","[51.86908075584545, 58.16362607980254, 58.12864439482086, 57.87665667665667, 57.97848817848817, 57.9131202131202, 57.87967865467865, 57.848817848817845, 57.81517649017648]"
140,moons,toys,implicit,7.785018913959363,56.83130839748486,58.54627039627039,57.96368435486082,1.3592607975006104,40.40372967720032,1830.75390625,"[10.760489305137114, 7.8191383857692776, 7.785018913959363, 7.610527020304783, 10.168507911639816, 12.913873817858914, 16.318791383705896, 18.287792295422328, 19.984569500524966, 21.88314805735889]","[55.68521282638929, 54.972024054376995, 56.83130839748486, 50.34944042885219, 45.09508008331538, 42.62875763727157, 40.19837127097188, 37.67787028073406, 36.33547696713331, 35.8100103542828]","[57.55110722610722, 56.47127872127872, 58.54627039627039, 51.623700319288545, 46.7584268672504, 44.18517332340861, 41.92582560198659, 39.49752382979936, 38.0958406660419, 37.34373288390316]"
140,moons,toys,implicit,13.861472934523174,57.42903567021214,58.490351315351305,58.08041125541125,0.6084063053131104,32.118757009506226,1835.9296875,"[13.86203930362214, 13.861472934523174, 13.861460926041428, 13.861463342305463, 13.861456633834342, 13.861455958056723, 13.861458995775603, 13.861452384882092, 13.861441646715468]","[51.01897922339099, 57.42903567021214, 57.39944859062506, 57.16872098489745, 57.0010866584396, 56.99138802374096, 56.72999941235235, 56.725470607823546, 56.79368572603866]","[52.91288172611702, 58.490351315351305, 58.066899766899766, 57.83296703296703, 58.20026640026639, 58.133999333999334, 57.70110526728173, 57.60490979608626, 57.795063270063274]"
140,moons,toys,implicit,13.8614760625201,57.15562574680221,58.40717615717615,58.00301169418816,0.5571436882019043,31.50401544570923,1836.53515625,"[13.862047960303709, 13.8614760625201, 13.861464362927771, 13.861456643411751, 13.861454028171897, 13.861457807996242, 13.861446761295037, 13.861458134354937, 13.861460603997047]","[50.74387018210548, 57.15562574680221, 57.32755577755578, 57.08206597324244, 57.06373234608528, 56.98200573935868, 56.90091183326477, 56.746890854243794, 57.00893714129008]","[52.67372088695618, 58.407176157176146, 58.06199633699633, 57.82460872460872, 57.858241758241746, 57.9280303030303, 57.83842823842823, 57.65608558108557, 57.89323176823176]"
1,moons,toys,implicit,13.861466887182267,57.42258378876026,58.44433899433899,58.608289749466216,0.82407546043396,35.2453076839447,2815.984375,"[13.861523353288264, 13.861466887182267, 13.861445207684229, 13.861453430323802, 13.861447602060293, 13.861446702625477, 13.861451501617534, 13.861447391848408, 13.861449900798489]","[56.33247193982488, 57.42258378876026, 56.72246527981822, 56.794718027070964, 56.96225245342892, 56.607080664433596, 56.74210397445692, 56.87744559362206, 56.78817457052751]","[57.185023310023304, 58.44433899433899, 57.53179957297604, 57.58406593406593, 57.650183150183146, 57.30743423243423, 57.4188727938728, 57.48063603063603, 57.32236097236097]"
2,moons,toys,implicit,13.861575014089896,57.202628743805214,57.91131368631368,58.5808608058608,8.051852703094482,34.501245975494385,2820.53125,"[13.861575014089896, 13.861468098745362, 13.86146002646284, 13.861459249071702, 13.861457240561439, 13.8614592051585, 13.86145985990837, 13.861459271343845]","[57.202628743805214, 56.216594190123594, 56.89844763080057, 56.644915868445274, 56.55314293549587, 56.408279465632404, 56.562258819611756, 56.710758359287766]","[57.91131368631368, 57.425728683081616, 57.776531801531796, 57.596037296037295, 57.6374209124209, 57.42380952380952, 57.646486846486845, 57.61761571761571]"
3,moons,toys,implicit,13.861468075571828,57.54937366555013,58.28121045621045,58.44664502164502,0.871283769607544,35.21751046180725,2815.13671875,"[13.861731330890017, 13.861468075571828, 13.861454858699743, 13.861457769395857, 13.861457006878501, 13.861450153871, 13.861450541912207, 13.861457115591904, 13.861457636335224]","[56.18839102074396, 57.54937366555013, 57.25633141368435, 56.46886887622181, 56.638599145952085, 56.91209427827074, 56.88082554700202, 56.79800836418483, 56.644819885996355]","[57.10782354900001, 58.28121045621045, 58.210697635697635, 57.293138234314696, 57.393747918747906, 57.81703296703296, 57.79662004662004, 57.67588245088245, 57.54566267066267]"
